NTP.JAMBI
99.7
102.43
104.52
104.17
104.16
100.54
99.71
97.6
100.38
98.9
102.17
106.91
110.47
107.07
104.85
102.16
98.55
101.15
103.57
106.89
110.28
112.68
115.75
117.83
