NTP.JAMBI
98.55
99.53
100.39
101.54
103.61
104.02
104.92
102.87
97.81
86.49
86.56
88.85
88.41
91.45
94.3
96.43
94.78
95.78
95.89
94.69
94.71
93.66
94.77
94.82
94.72
95.14
96.12
97.18
96.79
96.09
96.8
96.46
95.98
95.73
96.22
96.41
96.89
97.45
96.73
96.8
96.45
96.9
96.03
95.77
96.04
95.58
95.22
95.19
94.38
93.79
92.99
92.68
92.39
91.94
91.83
91.73
90.96
91.54
91.06
90.64
90.68
90.77
90.5
89.74
89.81
89.63
87.42
86.95
87.56
88.11
87.5
92.73
97.96
98.29
98.17
97.91
97.07
97.29
98.24
97.12
96.21
95.53
95.68
95.06
95.65
96.38
95.81
94.72
94.83
96.09
96
94.55
94.83
95.48
95.15
95.72
96.21
96.58
96.93
98.62
99.57
99.18
98.15
97.9
99.3
99.7
99.84
101.09
101.45
101.77
100.99
101.02
99.38
98.75
99
100.28
99.89
101.41
102.73
102.64
102.25
101.98
101.34
99.54
99.43
99.17
97.48
98.05
99.7
99.74
98.07
97.13
98.01
99.38
100.21
98.85
99.18
97.51
97.67
96.18
98.36
97.85
98.96
100.85
110.47
107.07
104.85
102.16
98.55
101.15
103.57
106.89
110.28
112.68
115.75
117.83
119.23
118.38
122.17
122.3
124.1
124.08
123.22
127.63
130.94
134.04
137.69
138.79
139.1
140.12
142.38
143.87
131.5
127.31
119.74
129.58
133.23
136.29
137.94
140.63
140.83
139.74
144.36
142.71
136.91
132.55
133.79
134.38
136.32
137.31
138.72
139.77
142.21
145.3
149.49
153.21
151.74
155.21
155.46
157.4
160.4
162.4
168.54
172.17
170.7
174.41
178.28
